title,authorName,synopsis,category,price,stock,coverImageUrl
Nineteen Eighty-Four,George Orwell,"Nineteen Eighty-Four: A Novel, often referred to as 1984, is a dystopian social science fiction novel by the English novelist George Orwell (the pen name of Eric Arthur Blair). It was published on 8 June 1949 by Secker & Warburg as Orwell's ninth and final book completed in his lifetime. Thematically, Nineteen Eighty-Four centres on the consequences of totalitarianism, mass surveillance, and repressive regimentation of persons and behaviours within society. Orwell, himself a democratic socialist, modelled the authoritarian government in the novel after Stalinist Russia. More broadly, the novel examines the role of truth and facts within politics and the ways in which they are manipulated.

----------		
Also contained in:		
[Novels (Animal Farm / Burmese Days / Clergyman's Daughter / Coming Up for Air / Keep the Aspidistra Flying / Nineteen Eighty-Four)](https://openlibrary.org/works/OL1168045W)		
[Novels (Animal Farm / Nineteen Eighty-Four)](https://openlibrary.org/works/OL1167981W)
[Orwell's Nineteen Eighty-Four: Text, Sources, Criticism](https://openlibrary.org/works/OL1168095W)",Ciencia Ficción,35.70,29,https://covers.openlibrary.org/b/id/9267242-M.jpg
Le Tour du Monde en Quatre-Vingts Jours,Jules Verne,"Phileas Fogg, a very punctual man had broken into an argument while conversing about the recent bank robbery. To keep his word of proving that he would travel around the world in 80 days and win the bet, he sets on a long trip, where he is joined by a few other people on the way. A wonderful adventure is about to begin!",Ciencia Ficción,36.62,69,https://covers.openlibrary.org/b/id/6976035-M.jpg
The Princess and Curdie,George MacDonald,"With the help of a mysterious fairy queen who provides monstrous but gentle creatures to aid him, a miner's son takes on the dangerous task of helping the king and princess confound their enemies and save the kingdom.",Ciencia Ficción,35.52,99,https://covers.openlibrary.org/b/id/14357835-M.jpg
Vingt mille lieues sous les mers,Jules Verne,"A nineteenth-century science fiction tale of an electric submarine, its eccentric captain, and undersea world, which anticipated many of the scientific achievements of the twentieth century.",Ciencia Ficción,49.00,18,https://covers.openlibrary.org/b/id/6573517-M.jpg
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"Mr. Gabriel Utterson is a serious, austere lawyer living a humdrum life in Victorian London. Yet there is a strange clause in his friend, Dr. Henry Jekyll's will: should he disappear for more than 3 months, everything will be inherited by Hyde. But after Edward Hyde's darker nature is revealed one dark winters night, Mr. Utterson begins to investigate the connection between the two men, and finds the dark secret binding them closer then he could have ever thought imaginable.

Adapted countless times in film, some times in video game form, and referenced countless times in popular culture, here is the story that started it all: The Strange Case of Dr. Jekyll & Mr. Hyde!",Ciencia Ficción,13.40,97,https://covers.openlibrary.org/b/id/295773-M.jpg
The Poison Belt,Arthur Conan Doyle,"Being an account of another adventure of Prof. George E. Challenger, Lord John Roxton, Prof. Summerlee and Mr E. D. M
alone, the discoverers of ""The Lost World"".",Ciencia Ficción,24.82,62,https://covers.openlibrary.org/b/id/5788361-M.jpg
The Island of Dr. Moreau,H. G. Wells,"Ranked among the classic novels of the English language and the inspiration for several unforgettable movies, this early work of H. G. Wells was greeted in 1896 by howls of protest from reviewers, who found it horrifying and blasphemous. They wanted to know more about the wondrous possibilities of science shown in his first book, The Time Machine, not its potential for misuse and terror. In The Island of Dr. Moreau, a shipwrecked gentleman named Edward Prendick, stranded on a Pacific island lorded over by the notorious Dr. Moreau, confronts dark secrets, strange creatures, and a reason to run for his life.

While this riveting tale was intended to be a commentary on evolution, divine creation, and the tension between human nature and culture, modern readers familiar with genetic engineering will marvel at Wells’s prediction of the ethical issues raised by producing “smarter” human beings or bringing back extinct species. These levels of interpretation add a richness to Prendick’s adventures on Dr. Moreau’s island of lost souls without distracting from what is still a rip-roaring good read.",Ciencia Ficción,31.80,44,https://covers.openlibrary.org/b/id/968312-M.jpg
Fahrenheit 451,Ray Bradbury,"Fahrenheit 451 is a 1953 dystopian novel by American writer Ray Bradbury. Often regarded as one of his best works, the novel presents a future American society where books are outlawed and ""firemen"" burn any that are found. The book's tagline explains the title as ""'the temperature at which book paper catches fire, and burns"": the autoignition temperature of paper. The lead character, Guy Montag, is a fireman who becomes disillusioned with his role of censoring literature and destroying knowledge, eventually quitting his job and committing himself to the preservation of literary and cultural writings.

The novel has been the subject of interpretations focusing on the historical role of book burning in suppressing dissenting ideas for change. In a 1956 radio interview, Bradbury said that he wrote Fahrenheit 451 because of his concerns at the time (during the McCarthy era) about the threat of book burning in the United States. In later years, he described the book as a commentary on how mass media reduces interest in reading literature.

In 1954, Fahrenheit 451 won the American Academy of Arts and Letters Award in Literature and the Commonwealth Club of California Gold Medal. It later won the Prometheus ""Hall of Fame"" Award in 1984 and a ""Retro"" Hugo Award, one of a limited number of Best Novel Retro Hugos ever given, in 2004. Bradbury was honored with a Spoken Word Grammy nomination for his 1976 audiobook version.


----------
Also contained in:

 - [451° по Фаренгейту: Рассказы](https://openlibrary.org/works/OL17811384W/Fahrenheit_451_stories)
 - [451° по Фаренгейту: повести и рассказы](https://openlibrary.org/works/OL27741633W)
 - [Works](https://openlibrary.org/works/OL28185143W)",Ciencia Ficción,15.56,70,https://covers.openlibrary.org/b/id/12993656-M.jpg
Frankenstein or The Modern Prometheus,Mary Shelley,"*Frankenstein; or, The Modern Prometheus* is an 1818 novel written by English author Mary Shelley. Frankenstein tells the story of Victor Frankenstein, a young scientist who creates a sapient creature in an unorthodox scientific experiment. Shelley started writing the story when she was 18, and the first edition was published anonymously in London on 1 January 1818, when she was 20. Her name first appeared in the second edition, which was published in Paris in 1821.",Ciencia,12.48,92,https://covers.openlibrary.org/b/id/12356249-M.jpg
Brave New World,Aldous Huxley,"Originally published in 1932, this outstanding work of literature is more crucial and relevant today than ever before. Cloning, feel-good drugs, antiaging programs, and total social control through politics, programming, and media -- has Aldous Huxley accurately predicted our future? With a storyteller's genius, he weaves these ethical controversies in a compelling narrative that dawns in the year 632 AF (After Ford, the deity). When Lenina and Bernard visit a savage reservation, we experience how Utopia can destroy humanity. A powerful work of speculative fiction that has enthralled and terrified readers for generations, Brave New World is both a warning to be heeded and thought-provoking yet satisfying entertainment. - Container.",Ciencia,12.69,6,https://covers.openlibrary.org/b/id/8231823-M.jpg
The Invisible Man,H. G. Wells,"This book is the story of Griffin, a scientist who creates a serum to render himself invisible, and his descent into madness that follows.",Ciencia,5.97,61,https://covers.openlibrary.org/b/id/6419199-M.jpg
De rerum natura,Titus Lucretius Carus,"This is regarded as a seminal text of Epicurean science and philosophy. Epicurians discarded both the idea of immortality and the superstitious worship of wilful gods for a life of serene contentment in the available pleasures of nature. Lucretius (c100-c55BC), in elucidating this belief, steers the reader through an extraordinary breadth of subject matter, ranging from the indestructibility of atoms and the discovery of fire to the folly of romantic love and the phenomena of clouds and rainstorms.",Ciencia,47.64,43,https://covers.openlibrary.org/b/id/566208-M.jpg
Le Tour du Monde en Quatre-Vingts Jours,Jules Verne,"Phileas Fogg, a very punctual man had broken into an argument while conversing about the recent bank robbery. To keep his word of proving that he would travel around the world in 80 days and win the bet, he sets on a long trip, where he is joined by a few other people on the way. A wonderful adventure is about to begin!",Ciencia,21.74,62,https://covers.openlibrary.org/b/id/6976035-M.jpg
Two years before the mast,Richard Henry Dana,"*Two Years before the Mast* is but an episode in the life of Richard Henry Dana, Jr., yet the narrative in which he details the experiences of that period is, perhaps, his chief claim to a wide remembrance. 

His services in fields other than literary occupied the greater part of his life. Dana was a well known and respected lawyer, a stalwart abolitionist, and an advocate for the rights of common sailors. He and his wife, Sarah, had many friends among New England's cultural elite, including Henry Wadsworth and Fanny (Appleton) Longfellow and the artist Washington Allston and his wife, Martha Remington (Dana), who was Richard's aunt. 

*Two Years before the Mast* appeared in 1840, while its author was still a law student. Though at the time it created no great stir in the United States, it was most favorably received in England, where it paved the way for many pleasant and valuable acquaintances. The following year, Dana produced *The Seaman's Friend*, a treatise on practical seamanship. Later, he wrote a a short account of an 1859 trip to Cuba in 1859. He was a copious letter-writer and kept journals of his travels and every day life. Yet, long before his death, he had seen the narrative of his sailor days recognized as an American classic. 

Time has not diminished its reputation. We read it today not merely for its simple, unpretentious style, but for its clear picture of a life at sea previous to the era of steam navigation and for its graphic description of conditions in California before visions of gold sent the long lines of ""prairie schooners"" drifting across the plains to unfold the hidden destiny of the West.",Ciencia,14.50,29,https://covers.openlibrary.org/b/id/8245243-M.jpg
Houghton Mifflin Science California,Houghton Mifflin Company Staff,Sin descripción disponible,Ciencia,33.92,69,https://covers.openlibrary.org/b/id/12746894-M.jpg
The Island of Dr. Moreau,H. G. Wells,"Ranked among the classic novels of the English language and the inspiration for several unforgettable movies, this early work of H. G. Wells was greeted in 1896 by howls of protest from reviewers, who found it horrifying and blasphemous. They wanted to know more about the wondrous possibilities of science shown in his first book, The Time Machine, not its potential for misuse and terror. In The Island of Dr. Moreau, a shipwrecked gentleman named Edward Prendick, stranded on a Pacific island lorded over by the notorious Dr. Moreau, confronts dark secrets, strange creatures, and a reason to run for his life.

While this riveting tale was intended to be a commentary on evolution, divine creation, and the tension between human nature and culture, modern readers familiar with genetic engineering will marvel at Wells’s prediction of the ethical issues raised by producing “smarter” human beings or bringing back extinct species. These levels of interpretation add a richness to Prendick’s adventures on Dr. Moreau’s island of lost souls without distracting from what is still a rip-roaring good read.",Ciencia,40.40,71,https://covers.openlibrary.org/b/id/968312-M.jpg
History,Herodotus,"One of the earliest histories of the western world still extant, this gives a contemporary account of the Greco-Persian wars of the fifth century BCE with the rise of the Achaemenid Empire under Cyrus the Great.",Ciencia,29.25,87,https://covers.openlibrary.org/b/id/9829028-M.jpg
Houghton Mifflin Science Leveled Readers,Houghton Mifflin Company Staff,Sin descripción disponible,Ciencia,9.37,47,https://covers.openlibrary.org/b/id/12917356-M.jpg
"[William Wheeler Hubbell, authorized to apply for patents.]",United States. Congress. Senate. Committee on Patents,Sin descripción disponible,Ciencia,40.68,85,https://covers.openlibrary.org/b/id/10200621-M.jpg
"The principall navigations, voiages, and discoveries of the English nations",Richard Hakluyt,"The principal navigations, voyages, traffiques & discoveries of the English nation made by sea or over-land to the remote and farthest distant quarters of the earth at any time within the compasse of these 1600 yeeres.",Ciencia,13.99,83,https://covers.openlibrary.org/b/id/6052194-M.jpg
On the origin of species by means of natural selection,Charles Darwin,"Charles Darwin's seminal work laying the foundations for the principles of evolutionary biology via natural selection, based on evidence that he collected during his expedition on *HMS Beagle* in the 1830s.",Ciencia,14.70,19,https://covers.openlibrary.org/b/id/7153600-M.jpg
Principles of Anatomy and Physiology,Gerard J. Tortora,"This is a classic text book sought after by nurses at all stages of their careers. The manual guides nurses in the clinical application of the latest research findings, ensuring that theory and practice are integrated",Ciencia,27.95,67,https://covers.openlibrary.org/b/id/3810109-M.jpg
Moralia,Plutarch,"The Moralia of the 1st-century Greek scholar Plutarch of Chaeronea is an eclectic collection of 78 essays and transcribed speeches. They provide insights into Roman and Greek life, but often are also timeless observations in their own right.",Ciencia,20.86,63,https://covers.openlibrary.org/b/id/5788251-M.jpg
Essays,Francis Bacon,"""Bacon's Essays have attracted an eager readership since their publication in 1625. They sum up a lifetime's observations on the whole range of human activity, by one of the keenest minds of the Renaissance. In their third and final revision Bacon designed the Essays to fill some of the gaps he had diagnosed in the study of mankind, such as the formative influences on individual behaviour of birth and temperament, of environment, social exchange, leisure, business, and politics.

Bacon's approach varies greatly from essay to essay, juxtaposing systematic analysis with brilliant apercus, in styles ranging from the detached and laconic to the passionately engaged, especially when expressing his moral beliefs.""--BOOK JACKET. ""This closely annotated edition is based on Brian Vickers's Oxford Authors text and includes appendices containing extracts from the Essays (1597), the Essays (1612) and 'Antitheses of Things' (1623).""--BOOK JACKET.",Ciencia,17.54,93,https://covers.openlibrary.org/b/id/8236351-M.jpg
Histoire naturelle,"Georges-Louis Leclerc, comte de Buffon","THEORIEDE LATERREPREMIER DISCOURSDE LA MANIERE D'ETUDIER ET DE TRAITER L'HISTOIRE NATURELLEl'histoire naturelle, prise dans toute son etendue, est une histoire immense ; elle embrasse tous les objets que nous presente l'univers. Cette multitude prodigieuse de quadrupedes, d'oiseaux, de poissons, d'insectes, de plantes, de mineraux, etc.., offre a la curiosite de l'esprit humain un vaste spectacle dont l'ensemble est si grand, qu'il parait et qu'il est en effet inepuisable dans les details. Une seule partie de l'histoire naturelle, comme l'histoire des insectes, ou l'histoire des plantes, suffit pour occuper plusieurs hommes ; et les plus habiles observateurs n'ont donne, apres un travail de plusieurs annees, que des ebauches assez imparfaites des objets trop multiplies que presentent ces branches particulieres de l'histoire naturelle, auxquelles ils s'etaient uniquement attaches : cependant ils ont fait tout ce qu'ils pouvaient faire, et bien loin de s'en prendre aux observateurs du peu d'avancement de la science, on ne saurait trop louer leur assiduite au travail et leur patience, on ne peut meme leur refuser des qualites plus elevees ; car il y a une espece de force de genie et de courage d'esprit a pouvoir envisager, sans s'etonner, la nature, dans la multitude innombrable de ses productions, et a se croire capable de les comprendre et de les comparer ; il y a une espece de gout a les aimer, plus grand que le gout qui n'a pour but que des objets particuliers, et on peut dire que l'amour de l'etude de la nature suppose dans l'esprit deux qualites qui paraissent opposees, les grandes vues d'un genie ardent qui embrasse tout d'un coup d'oeil, et les petites attentions d'un instinct laborieux qui ne s'attache qu'a un seul point.",Ciencia,11.49,16,https://covers.openlibrary.org/b/id/6130908-M.jpg
Discours de la méthode,René Descartes,"By an almost universal agreement among philosophers and historians, Rene' Descartes is considered the originator of modern philosophy, or at least the first important philosopher of our times. If we add to this the common belief that philosophy points the way for developments in all other fields, it will be evident that to Descartes is ascribed an importance comparable to that of the beginnings of intellectual culture in Greece or of the origin and spread of Christianity in the Mediterranean regions, and surpassing all other events in history. The study of Descartes can start in no more appropriate way than by inquiring into his reputation, and deciding in what sense and to what extent it is justified. Discourse on Method was originally published in 1637.",Ciencia,45.44,11,https://covers.openlibrary.org/b/id/8236442-M.jpg
Northern Lights,Philip Pullman,"In a landmark epic of fantasy and storytelling, Philip Pullman invites readers into a world as convincing and thoroughly realized as Narnia, Earthsea, or Redwall. Here lives an orphaned ward named Lyra Belacqua, whose carefree life among the scholars at Oxford's Jordan College is shattered by the arrival of two powerful visitors. First, her fearsome uncle, Lord Asriel, appears with evidence of mystery and danger in the far North, including photographs of a mysterious celestial phenomenon called Dust and the dim outline of a city suspended in the Aurora Borealis that he suspects is part of an alternate universe. He leaves Lyra in the care of Mrs. Coulter, an enigmatic scholar and explorer who offers to give Lyra the attention her uncle has long refused her. In this multilayered narrative, however, nothing is as it seems. Lyra sets out for the top of the world in search of her kidnapped playmate, Roger, bearing a rare truth-telling instrument, the compass of the title. All around her children are disappearing—victims of so-called ""Gobblers""—and being used as subjects in terrible experiments that separate humans from their daemons, creatures that reflect each person's inner being. And somehow, both Lord Asriel and Mrs. Coulter are involved.",Ciencia,44.81,98,https://covers.openlibrary.org/b/id/8747028-M.jpg
1st Report [Session 1993-94],Rand McNally,Sin descripción disponible,Ciencia,43.90,4,https://covers.openlibrary.org/b/id/11962006-M.jpg
I'll never be young again,Daphne du Maurier,"As far as his father, a famous writer, is concerned, Richard will never amount to anything, and so he decides to take his fate into his own hands. But at the last moment he is saved by Jake, who appeals to Richard not to waste his life. Together they set out for adventure, working their way through Europe, eventually arriving in bohemian Paris, where Richard meets Hesta, an entrancing music student.",Aventuras,29.34,89,https://covers.openlibrary.org/b/id/893856-M.jpg
Dragon and Thief,Timothy Zahn,"Fourteen-year-old orphan Jack Morgan is hiding out.

In a spaceship.

Falsely accused of a crime, he pilots his Uncle Virgil's spaceship to a remote and uninhabited planet hoping to escape capture. When another ship crashes after a fierce battle, Jack rescues the sole survivor-- a K'da warrior names Draycos. It turns out Draycos can help Jack clear his name. All they have to do is team up. No problem, right?

Until Jack learns that Draycos is not your average alien.",Aventuras,14.09,95,https://covers.openlibrary.org/b/id/523855-M.jpg
The Octonauts explore the great big ocean,Meomi,"The Octonauts are researching underwater habitats around the world, when Tunip the Vegimal starts to wonder where he comes from. So begins another underwater adventure full of fun and surprises as the Octonauts take Tunip and his Vegimal friends on an exciting trip around the world, on a quest for his true home.",Aventuras,38.09,15,https://covers.openlibrary.org/b/id/9032023-M.jpg
Dark Rage,Lowell Cauffiel,"When madman Laurel King seizes control of Detroit's Metro Airport on the day before Thanksgiving, jaded ex-homicide cop Jack Riker becomes the only force that can stop him.

from Goodreads",Aventuras,24.57,88,https://covers.openlibrary.org/b/id/8281627-M.jpg
Spawn,Shaun Hutson,Sin descripción disponible,Aventuras,12.12,51,https://covers.openlibrary.org/b/id/10881582-M.jpg
The Forest Queen,Betsy Cornwell,"When sixteen-year-old Sylvie s brother takes over management of their family s vast estates, Sylvie feels powerless to stop his abuse of the local commoners. Her dearest friend asks her to run away to the woods with him, and soon a host of other villagers join them.",Aventuras,43.60,89,
The Wonderling,Mira Bartók,"Have you been unexpectedly burdened by a recently orphaned or unclaimed creature? Worry not! We have just the solution for you!

Welcome to the Home for Wayward and Misbegotten Creatures, an institution run by evil Miss Carbunkle, a cunning villainess who believes her terrified young charges exist only to serve and suffer. Part animal and part human, the groundlings toil in classroom and factory, forbidden to enjoy anything regular children have, most particularly singing and music. For the Wonderling, an innocent-hearted, one-eared, fox-like eleven-year-old with only a number rather than a proper name — a 13 etched on a medallion around his neck — it is the only home he has ever known. But unexpected courage leads him to acquire the loyalty of a young bird groundling named Trinket, who gives the Home’s loneliest inhabitant two incredible gifts: a real name — Arthur, like the good king in the old stories — and a best friend. Using Trinket’s ingenious invention, the pair escape over the wall and embark on an adventure that will take them out into the wider world and ultimately down the path of sweet Arthur’s true destiny. Richly imagined, with shimmering language, steampunk motifs, and gripping, magical plot twists, this high adventure fantasy is the debut novel of award-winning memoirist Mira Bartók and has already been put into development for a major motion picture.",Aventuras,25.81,68,https://covers.openlibrary.org/b/id/8085635-M.jpg
Titan's Revenge,Joseph Reynolds,Sin descripción disponible,Aventuras,19.95,81,https://covers.openlibrary.org/b/id/2943785-M.jpg
Marvel Rocket and Groot: Keep on Truckin'! (Marvel Fiction),Tom Angleberger,"It's Rocket and Groot Book: Keep on Truckin'! and they are taking it to the next level as they continue their journey through the cosmos defeating baddies. Expect more zaniness, more chaos, more Rocket doodles, more ""I am Groots"", and tons of Veronica - the totally awesome butt-kicking tape dispenser!",Aventuras,45.95,42,https://covers.openlibrary.org/b/id/8667446-M.jpg
Justice League vs. Bizarro League,J. E. Bright,"""What happens when the Justice League meets the Bizarro League, a team of opposite versions of themselves? Their world gets turned upside down! But whether they like it or not, the Justice League will have to team up with their hilariously clumsy counterparts to defeat Darkseid in this all-new, action-packed adventure!""--Page [4] of cover.",Aventuras,14.12,38,https://covers.openlibrary.org/b/id/10167554-M.jpg
Dino-Mike and Dinosaur Doomsday,Franco Aureliani,Sin descripción disponible,Aventuras,40.54,13,https://covers.openlibrary.org/b/id/12623363-M.jpg
Say her name,Juno Dawson,"Roberta 'Bobbie' Rowe is not the kind of person who believes in ghosts. A Halloween dare at her ridiculously spooky boarding school is no big deal, especially when her best friend Naya and cute local boy Caine agree to join in too. They are ordered to summon the legendary ghost of 'Bloody Mary': say her name five times in front of a candlelit mirror, and she shall appear ... But, surprise surprise, nothing happens. Or does it? Next morning, Bobbie finds a message on her bathroom mirror ... five days ... but what does it mean? And who left it there? Things get increasingly weird and more terrifying for Bobbie and Naya, until it becomes all too clear that Bloody Mary was indeed called from the afterlife that night, and she is definitely not a friendly ghost. Bobbie, Naya and Caine are now in a race against time before their five days are up and Mary comes for them, as she has come for countless others before ... This is a truly spine-chilling yet witty horror from shortlisted 'Queen of Teen' author James Dawson.",Aventuras,15.73,57,https://covers.openlibrary.org/b/id/10307983-M.jpg
When camels fly,NLB Horton,"""Seconds after Grace shoots Maggie's abductor, a handsome shepherd drops from the sky to kill a second assassin. The women's world crumbles in two blinks of an eye. Running for their lives, they quickly unearth a global evil poised to sacrifice millions. Their pursuit of justice plunges them into a vortex of intrigue and espionage, endangering friends and family while the world teeters toward disaster. As they crisscross the ""cradle of civilization,"" they unexpectedly extinguish old flames and ignite new loves. How far will they have to go to save everyone and everything they hold dear? From the shadowy alleyways of old Jerusalem to a congested caravanserai in Jordan, and from elderly operatives hiding under Masada to youthful rescuers disguised as snake charmers in Jericho, the mother-daughter team soon realizes nothing is as it seems--even each other"" -- From Amazon.com.",Aventuras,46.82,39,https://covers.openlibrary.org/b/id/10822277-M.jpg
King Solomon's Mines and Other Adventure Classics,Rudyard Kipling,Sin descripción disponible,Aventuras,26.53,28,https://covers.openlibrary.org/b/id/12946086-M.jpg
Dragon Queen,Stacia Deutsch,"When a human girl enters a portal into the land of the elves, she's in for a journey full of action, magic, and friendship! The chapter books in this series will have foil on the cover and offer enchanting adventures in a lush new world.",Aventuras,40.93,85,
Fort Solitude,Derek Fridolfs,"When Clark Kent and his Secret Hero Society friends, Bruce and Diana, are invited to a spring break academic retreat at Camp Evergreen, their initial fun with new and old friends is thrown into chaos by disappearing campers and rumors of monster sightings.",Aventuras,13.73,0,https://covers.openlibrary.org/b/id/14314194-M.jpg
DC Super Friends 5-Minute Story Collection,Random House,Sin descripción disponible,Aventuras,10.57,60,https://covers.openlibrary.org/b/id/10354301-M.jpg
Everybody's favorite book,Mike Allegra,"A  good  book may have a spaceman or a ninja or a cowboy, but Everybody s Favorite Book has something better: a Space Ninja Cow. And that s only the beginning. You like princesses? We got 'em. Prefer a mystery? No sweat. Want the definition of ""gallimaufry""? A good poop joke? A giant, carnivorous guinea pig? Check, check, and check.",Aventuras,28.42,19,
Elsewhere,Jay Faerber,"Amelia Earhart and her Korvathian ally, Cort, embark on an epic journey in search of a mythical portal that might connect to Earth. Along the way, they encounter new friends, make new enemies, and uncover long buried secrets. And just how does DB Cooper fit into all of this?",Aventuras,35.82,30,
Twister!,Samone Bos,"""When Jeremy visits his twin cousins Jack and Flash in Oklahoma, he gets a big surprise: they're storm chasers! They live in a region called Tornado Alley, an area with more tornadoes than anywhere else in the world. Jack and Flash travel around Tornado Alley looking for tornadoes, and Jeremy is coming with them on their next mission. In Twister! Jeremy and his cousins encounter giant hailstones, awesome lightning, and funnel clouds, but will they get to see a tornado face-to-face? And will they get sucked up into its trail of destruction?""--Publisher's description.",Aventuras,17.51,24,https://covers.openlibrary.org/b/id/8192101-M.jpg
